name,food,openings
"Burger Time","","Mo - Fr 00:00 - 02:45, 10:45 - 24:00; Sa 00:00 - 03:45, 10:45 - 24:00; So 00:00 - 03:45, 11:45 - 24:00"
"Flavour of India","","Mo - So 11:30 - 24:00"
"Pizzeria Bravo","","Mo, Mi, Do, So 11:00 - 23:00; Di 12:00 - 23:15; Fr, Sa 11:00 - 23:30"
"Asia Food","Chinesisch,  Sushi,  Sushi Menüs","Di - So 11:30 - 21:45"
"La Vado","Aufläufe,  Burger,  Fischgerichte","Mo - So 10:30 - 23:45"
"Bakers","Burger,  Döner,  Fingerfood","Mo - So 11:00 - 21:45"
"Rivado Steakhaus","Burger,  Fingerfood,  Fischgerichte","Mo - Fr 16:00 - 21:45; Sa, So 12:00 - 21:45"
"Indisches Restaurant Apne","Entengerichte,  Fischgerichte,  Garnelengerichte","Mo - Fr 11:00 - 22:45; Sa, So 12:00 - 22:45"
"Döner & Burger House","","Mo - Sa 14:30 - 23:45; So 11:30 - 23:45"
"Sushi Express","Asiatisch,  Häagen Dasz Eis,  Salate","Mo - So 15:00 - 21:45"
"Pizza & Pasta","","Mo - So 12:00 - 23:30"
"Big Bomber italienische & mexikanische Spezialitäten","","Mo - Fr 18:00 - 24:00; So 16:00 - 23:30"
"Pizza Haus","Burger,  Fingerfood,  Häagen Dasz Eis","Mo 16:00 - 24:00; Di - Fr 00:00 - 01:00, 16:00 - 24:00; Sa 00:00 - 02:00, 16:00 - 24:00; So 00:00 - 02:00, 13:00 - 24:00"
"Pizza Hour","","Di - Sa 12:00 - 21:45; So 13:00 - 21:45"
"Minaar Indische Spezialitäten","","Mo - Do, So 12:00 - 22:00; Fr 15:00 - 22:30; Sa 15:00 - 23:00"
"Mr. Pizza","Calzone,  Chickenburger,  Fischgerichte","Mo - So 12:00 - 22:45"
"Express","Amerikanisch,  Döner,  Italienisch","Mo - So 11:00 - 21:45"
"Raja","Entengerichte,  Fischgerichte,  Geflügelgerichte","Mo - So 11:15 - 24:00"
"Safran","Entengerichte,  Fischgerichte,  Geflügelgerichte","Mo - So 11:15 - 24:00"
"Lieferservice Karma","Asiatisch,  Fischgerichte,  Fleischgerichte","Mo - Fr 17:00 - 22:00; Sa, So 14:00 - 22:00"
"King of India","","Mo - So 11:15 - 24:00"
"Cocktail Haus","Bier,  Salate,  Sekt","Mo - So 11:30 - 24:00"
"Indien Curry","Cocktails,  Getränkelieferungen","Mo - So 11:15 - 24:00"
"Hauptstadt Cocktails & Shisha","Bier,  Burger,  Cocktails","Mo - Do, So 17:00 - 22:00; Fr, Sa 17:00 - 24:00"
"Bollywood indischer Lieferservice","Fleischgerichte,  Indisch,  Kindermenüs","Mo - So 11:15 - 24:00"
"My Burger","","Mo 16:00 - 24:00; Di - Fr 00:00 - 01:00, 16:00 - 24:00; Sa 00:00 - 02:00, 16:00 - 24:00; So 00:00 - 02:00, 13:00 - 24:00"
"Suff-Kutsche","","Di - Do 19:00 - 22:30; Fr 20:00 - 24:00; Sa 00:00 - 05:00, 18:00 - 24:00; So 00:00 - 05:00, 14:00 - 22:30"
"Zeeshan 2","Brötchen,  Fleischgerichte,  Indisch","Mo - So 11:15 - 24:00"
"Zeeshan pakistanischer Lieferservice","","Mo - So 11:30 - 24:00"
"Burger Royal","","Mo - Fr, So 00:00 - 03:30, 17:00 - 24:00; Sa 00:00 - 03:30, 16:00 - 24:00"
"Indian Massala","","Mo - Fr 00:00 - 03:30, 17:00 - 24:00; Sa 00:00 - 03:30, 16:00 - 24:00; So 00:00 - 03:00, 17:00 - 24:00"
"Pizza Bulls","","Mo - Fr 11:00 - 23:00; Sa, So 12:00 - 23:00"
"Star of India Lieferservice","","Mo - So 11:15 - 24:00"
"Berlin Burger","","Mo - So 00:00 - 03:30, 17:00 - 24:00"
"Zeeshan 3 pakistanischer Lieferservice","","Mo - So 11:30 - 24:00"
"Affentheater","Amerikanisch,  Italienisch","Di - Fr 15:00 - 24:00; Sa, So 12:00 - 24:00"
"by Miran's","","Mo - So 11:00 - 23:30"
"Thai Viet","Chinesisch,  Entengerichte,  Geflügelgerichte","Mo - So 11:00 - 22:30"
"Snacktime","Eiergerichte,  Eintöpfe,  Kaffee","Mo - Fr 09:00 - 15:30; Sa 10:00 - 15:30"
"Sushi Company Asia","","Di - Do 16:00 - 24:00; Fr, Sa 14:00 - 24:00; So 12:00 - 23:00"
"ZARUS International Berlin","Fleischgerichte,  Frühstück,  Mittagsmenüs","Mo - Fr 11:00 - 15:00"
"Pizza & Pasta","Burger,  Fischgerichte,  Grillgerichte","Mo - So 12:00 - 23:45"
"Call a Pizza Mariendorf","","Mo - Do, So 11:00 - 22:00; Fr, Sa 11:00 - 23:00"
"Pizzeria Il Forno","Aufläufe,  Fischgerichte,  Fleischgerichte","Mo - So 11:00 - 22:45"
"Valentino","Burger,  Fischgerichte,  Fleischgerichte","Mo - So 00:00 - 00:45, 10:00 - 24:00"
"My Friends Restaurant","Chinesisch,  Entengerichte,  Fischgerichte","Mo - So 12:00 - 22:00"
"Phoco Vietnam Thai und Sushi","","Mo - Fr 11:00 - 21:45; Sa, So 12:00 - 21:45"
"Moe's American Pizza","","Di - Do 14:00 - 23:30; Fr - So 11:00 - 23:30"
"YO Burger","Burger,  Fingerfood,  Pizza","Mo - So 11:00 - 23:00"
"Mai Thien My - ASIA SPEZIALITÄTEN","Asiatisch,  Fischgerichte,  Fleischgerichte","Di - So 11:00 - 21:45"
"Thai Nippon Sushi Bar","Chinesisch,  Fischgerichte,  Fleischgerichte","Mo - Sa 10:00 - 20:45"
"Hallo Pizza Berlin-Tempelhof","","Mo - Do, So 11:30 - 22:00; Fr, Sa 11:30 - 23:00"
"Salomon Bagels Catering","Bagels,  Sandwiches","Mo - Fr 09:00 - 21:00; Sa, So 10:00 - 20:00"
"Essbahn Partyservice","Baguettes,  Currywurst,  Geflügelgerichte","Mo - Sa 08:00 - 17:00"
"China Snack","Chinesisch,  Entengerichte,  Fischgerichte","Mo - Fr 11:00 - 21:30; So 12:00 - 21:30"
"aveato Business Catering Berlin","","Mo - Fr 08:00 - 13:00"
"Sushi - T. Phu","Chinesisch,  Japanisch,  Mittagsmenüs","Mo, Mi - Sa 11:00 - 22:15; So 12:00 - 22:15"
"L.A. Burger","Burger,  Fingerfood,  Fischgerichte","Mo - Do 15:00 - 23:00; Fr, Sa 14:00 - 24:00; So 13:00 - 23:00"
"Partybrenner","Amerikanisch,  Fingerfood,  Italienisch","Mo 00:00 - 01:00, 22:00 - 24:00; Di - Fr 00:00 - 01:00, 20:00 - 24:00; Sa, So 00:00 - 03:00, 20:00 - 24:00"
"Subway Berlin-Mitte","","Mo - Fr 09:00 - 19:00"
"Pizzeria Malaga","Fischgerichte,  Pasta,  Pizza","Mo - Sa 16:00 - 22:30; So 12:00 - 22:30"
"Mizuki Grill Sushi Bar","","Mo - Fr 11:30 - 21:30; Sa, So 12:00 - 21:30"
"King Burger","Amerikanisch,  Burger,  Chickenburger","Mo - So 00:00 - 03:15, 17:30 - 24:00"
"Quitzdorf Obst & Gemüse - Lebensmittel","Obst","Mo - Fr 04:00 - 14:00"
"Da Vinci","","Di - Sa 16:00 - 23:00; So 12:00 - 23:00"
"Miss Anh","Asiatisch,  Japanisch,  Mittagsmenüs","Mo - Fr 11:00 - 21:45; So 12:00 - 21:45"
